Date,Open,High,Low,Close,Adj Close,Volume
2008-06-20,25.621429,25.857143,25.000000,25.038572,21.734507,222091800
2008-06-23,24.962856,25.125713,24.508572,24.737143,21.472849,161445200
2008-06-24,24.624287,25.111429,24.518572,24.750000,21.484007,155486800
2008-06-25,24.944286,25.547142,24.840000,25.341429,21.997396,161112700
2008-06-26,24.867144,24.977142,24.001429,24.037144,20.865225,217402500
2008-06-27,23.787144,24.367144,23.450001,24.298571,21.092154,260562400
2008-06-30,24.312857,24.571428,23.802856,23.920000,20.763536,171049200
2008-07-01,23.461428,24.959999,23.428572,24.954287,21.661335,277820200
2008-07-02,25.028572,25.350000,24.025715,24.025715,20.855305,209379800
2008-07-03,24.227142,24.595715,23.678572,24.302856,21.095869,130840500
2008-07-07,24.737143,25.304285,24.557142,25.022858,21.720858,205097900
2008-07-08,25.057142,25.671429,24.677143,25.650000,22.265249,222087600
2008-07-09,25.742857,25.844286,24.877142,24.892857,21.608019,223944000
2008-07-10,24.988571,25.334286,24.481428,25.232857,21.903149,210172200
2008-07-11,25.067142,25.301428,24.428572,24.654285,21.400925,232502900
2008-07-14,25.605715,25.614286,24.725714,24.840000,21.562132,221513600
2008-07-15,24.639999,24.820000,23.770000,24.234285,21.036346,260010800
2008-07-16,24.314285,24.704287,24.085714,24.687143,21.429451,186947600
2008-07-17,24.871429,24.997143,24.484285,24.544285,21.305441,189381500
2008-07-18,24.074286,24.235714,23.571428,23.592857,20.479557,217103600
2008-07-21,23.842857,23.928572,23.017143,23.755714,20.620930,340117400
2008-07-22,21.285715,23.251429,20.932858,23.145714,20.091423,469898100
2008-07-23,23.570000,24.052856,23.080000,23.751429,20.617210,265442100
2008-07-24,23.474285,23.608572,22.635714,22.718571,19.720644,209904800
2008-07-25,22.914286,23.285715,22.664286,23.160000,20.103821,158409300
2008-07-28,23.191429,23.209999,22.002857,22.057142,19.146502,195178200
2008-07-29,22.201429,22.778572,21.950001,22.440001,19.478834,171017700
2008-07-30,22.540001,22.927143,22.297142,22.840000,19.826052,181295800
2008-07-31,22.505714,23.171429,22.425714,22.707144,19.710728,159374600
2008-08-01,22.842857,22.855715,22.250000,22.379999,19.426752,136159800
2008-08-04,22.371429,22.557142,21.844286,21.889999,19.001411,148131900
2008-08-05,22.202858,22.971428,22.117144,22.948572,19.920294,172092900
2008-08-06,22.852858,23.914286,22.571428,23.455715,20.360523,197852200
2008-08-07,23.244286,23.735714,23.071428,23.367144,20.283636,168093100
2008-08-08,23.408571,24.235714,23.392857,24.221428,21.025188,178499300
2008-08-11,24.295713,25.214285,24.238571,24.794285,21.522449,222826100
2008-08-12,24.788572,25.612858,24.787144,25.247143,21.915552,209069700
2008-08-13,25.425714,25.714285,25.128571,25.614286,22.234247,210586600
2008-08-14,25.475714,25.778572,25.405714,25.617144,22.236723,177825200
2008-08-15,25.577143,25.678572,25.007143,25.105715,21.792789,177062900
2008-08-18,25.081429,25.401428,24.831429,25.055714,21.749384,138003600
2008-08-19,24.934286,25.295713,24.544285,24.790001,21.518728,154051100
2008-08-20,24.967142,25.277143,24.801428,25.120001,21.805185,126737800
2008-08-21,24.924286,25.064285,24.555714,24.898571,21.612972,134936200
2008-08-22,25.117144,25.357143,25.081429,25.255714,21.922987,109902800
2008-08-25,25.164286,25.175714,24.522858,24.650000,21.397209,121106300
2008-08-26,24.680000,24.982857,24.658571,24.805714,21.532379,111387500
2008-08-27,24.758572,25.108572,24.598572,24.952858,21.660105,119445200
2008-08-28,25.040001,25.178572,24.678572,24.820000,21.544771,107846200
2008-08-29,24.708570,24.785715,24.148571,24.218571,21.022715,149822400
2008-09-02,24.628571,24.785715,23.571428,23.741428,20.608530,195190800
2008-09-03,23.834286,24.097143,23.428572,23.851429,20.704012,183708700
2008-09-04,23.694286,23.987143,22.972857,23.031429,19.992220,185846500
2008-09-05,22.655714,23.200001,22.521429,22.882856,19.863253,196721000
2008-09-08,23.510000,23.555714,21.637142,22.559999,19.583004,261494800
2008-09-09,22.408571,22.851429,21.398571,21.668571,18.809202,311256400
2008-09-10,21.760000,22.141428,21.257143,21.658571,18.800529,243285700
2008-09-11,21.168571,21.855715,20.857143,21.807142,18.929487,242783800
2008-09-12,21.558571,21.558571,20.928572,21.277143,18.469431,198256800
2008-09-15,20.290001,21.098572,20.051428,20.051428,17.405453,230158600
2008-09-16,19.122858,20.357143,18.878571,19.982857,17.345934,299959100
2008-09-17,19.784286,19.787144,18.261429,18.261429,15.851669,300113800
2008-09-18,18.652857,19.347143,17.240000,19.155714,16.627935,419063400
2008-09-19,20.371429,20.600000,19.472857,20.129999,17.473660,357718900
2008-09-22,19.991428,20.035715,18.665714,18.721428,16.250967,214178300
2008-09-23,18.835714,19.400000,18.094286,18.120001,15.728899,320091100
2008-09-24,18.181429,18.707144,17.878571,18.387142,15.960795,261753800
2008-09-25,18.542856,19.255714,18.360001,18.847143,16.360090,251511400
2008-09-26,17.844286,18.542856,17.571428,18.320000,15.902511,281612800
2008-09-29,17.088572,17.097143,14.370000,15.037143,13.052853,655514300
2008-09-30,15.464286,16.428572,15.185715,16.237143,14.094501,406670600
2008-10-01,15.988571,16.051428,15.341429,15.588572,13.531516,324121000
2008-10-02,15.430000,15.541429,14.285714,14.300000,12.412984,402341100
2008-10-03,14.857142,15.214286,13.521428,13.867143,12.037247,573599600
2008-10-06,13.137143,14.111428,12.505714,14.020000,12.169932,526854300
2008-10-07,14.354285,14.500000,12.707143,12.737143,11.056362,469693000
2008-10-08,12.272857,13.761429,12.240000,12.827143,11.134484,551935300
2008-10-09,13.335714,13.685715,12.371428,12.677143,11.004278,404345900
